RA,DEC,Magnitude,Magnitude_error
224.16841785689317,16.793254492728813,Notfound,Notfound
224.227018475477,16.793114014818944,Notfound,Notfound
224.1189170848008,16.793787951477658,Notfound,Notfound
224.18459582234337,16.793651475623083,Notfound,Notfound
224.1343831246778,16.79443766891739,Notfound,Notfound
224.16180419471496,16.79563120803632,Notfound,Notfound
224.17593873700542,16.795900417637526,Notfound,Notfound
224.20428504295313,16.796125744386973,Notfound,Notfound
224.13974928337677,16.799427653719903,Notfound,Notfound
224.22418817922764,16.800286911343303,Notfound,Notfound
224.21723752172707,16.80058741514239,Notfound,Notfound
224.16468912114073,16.80216207488193,Notfound,Notfound
224.16027914962586,16.803410896826502,Notfound,Notfound
224.1652743141304,16.803751748924604,Notfound,Notfound
224.12461278170716,16.806135964651958,Notfound,Notfound
224.1298657541919,16.806150621573615,Notfound,Notfound
224.1276539137606,16.807034816103275,Notfound,Notfound
224.11847300042658,16.807394583304955,Notfound,Notfound
224.1723175044806,16.80830715351625,Notfound,Notfound
224.17588748676258,16.808349194520776,Notfound,Notfound
224.156747838893,16.80981507518375,Notfound,Notfound
224.16591780213736,16.810434638214264,Notfound,Notfound
224.2140264824516,16.812299988679815,Notfound,Notfound
224.1345109686464,16.813082679385385,Notfound,Notfound
224.17099300878246,16.814628096120817,Notfound,Notfound
224.16966972473494,16.816287125426136,Notfound,Notfound
224.14095034039968,16.81864453808967,Notfound,Notfound
224.1191473896466,16.818725751987333,Notfound,Notfound
224.16302761963044,16.819157351214994,Notfound,Notfound
224.17258302847543,16.821812844418215,--,--
224.2221104071351,16.82390139387687,Notfound,Notfound
224.16554664620625,16.824491072905616,Notfound,Notfound
224.14055918848732,16.82486869529038,Notfound,Notfound
224.1425987477929,16.825740682812857,Notfound,Notfound
224.16928789315256,16.829043305076162,Notfound,Notfound
224.1322660085499,16.82918225553117,Notfound,Notfound
224.22092234508088,16.829821058938833,Notfound,Notfound
224.16700523994035,16.83100689260987,Notfound,Notfound
224.12579723888925,16.83160908017122,Notfound,Notfound
224.1490440387185,16.83224530370542,Notfound,Notfound
224.16530362403657,16.835084056297976,Notfound,Notfound
224.1917082931013,16.835219283567397,Notfound,Notfound
224.13035630465143,16.83695838303017,Notfound,Notfound
224.12715704949105,16.83774014765288,Notfound,Notfound
224.1817439348565,16.837654554410953,Notfound,Notfound
224.12394236785326,16.839932186845612,Notfound,Notfound
224.17474080324115,16.840689942247312,Notfound,Notfound
224.1553580926743,16.84075765171523,Notfound,Notfound
224.12946639081107,16.841958947466075,Notfound,Notfound
224.14099877911877,16.843160743653442,Notfound,Notfound
224.1274564790429,16.844716536329166,Notfound,Notfound
224.1513895155386,16.84535539550275,Notfound,Notfound
224.14314623973473,16.8463396170839,Notfound,Notfound
224.1612536630266,16.84766673171706,Notfound,Notfound
224.1520759602889,16.847974978577813,Notfound,Notfound
224.20066287134233,16.848883271772518,Notfound,Notfound
224.1919922261123,16.85013063280662,Notfound,Notfound
224.14824313269796,16.850631039191157,Notfound,Notfound
224.15714690960564,16.850703323980685,Notfound,Notfound
224.21615558615434,16.850573720300215,Notfound,Notfound
224.20843196566537,16.85070520774023,Notfound,Notfound
224.12873767122596,16.851811640483053,Notfound,Notfound
224.200070128862,16.85165694587885,Notfound,Notfound
224.13891290986496,16.852229782425468,Notfound,Notfound
224.20600231421403,16.852321722427853,Notfound,Notfound
224.1323616959916,16.854117569690317,Notfound,Notfound
224.15155357606608,16.8544791704649,Notfound,Notfound
224.13471838368127,16.855604255828244,Notfound,Notfound
224.15388706374148,16.85572955653919,Notfound,Notfound
224.22187625775086,16.858221832300252,Notfound,Notfound
224.21202853613988,16.859291260745778,Notfound,Notfound
224.16535184179884,16.85974507474306,Notfound,Notfound
224.19252846072476,16.860543862126768,Notfound,Notfound
224.13514918225516,16.862410808108965,Notfound,Notfound
224.1831089891544,16.86330734116032,Notfound,Notfound
224.1340180313744,16.863773076339577,Notfound,Notfound
224.22437385616016,16.863899074850405,Notfound,Notfound
224.21266916633817,16.865911042228767,Notfound,Notfound
224.19701892214027,16.86602654581597,Notfound,Notfound
224.13943035454227,16.86612228956052,Notfound,Notfound
224.1703394464558,16.8713485467326,Notfound,Notfound
224.2105806372223,16.87193362261419,Notfound,Notfound
224.18888795357572,16.87369720916855,Notfound,Notfound
224.13751220245243,16.874668419821685,Notfound,Notfound
224.14013667545834,16.875420269628894,--,--
224.14712448890864,16.87616819519051,Notfound,Notfound
224.16308044173357,16.879295320403976,Notfound,Notfound
224.12101169317395,16.880209583914336,Notfound,Notfound
224.16253951154064,16.88060981477568,Notfound,Notfound
224.16453427521108,16.88116747147085,Notfound,Notfound
224.1611620276906,16.88122615204432,Notfound,Notfound
224.19578633204515,16.881870742917805,Notfound,Notfound
224.1591984387603,16.881990093564045,Notfound,Notfound
224.1665551897014,16.882143985461703,Notfound,Notfound
224.15359164693663,16.882367963832777,Notfound,Notfound
224.16519065133332,16.882542545122202,Notfound,Notfound
224.16269446364646,16.882564285373075,Notfound,Notfound
224.16057808291774,16.882610480496247,Notfound,Notfound
224.16655736735387,16.882937464247725,Notfound,Notfound
224.15922931263137,16.883084506007396,Notfound,Notfound
224.16156392831945,16.88366514446471,Notfound,Notfound
224.16453493808166,16.883814831328586,Notfound,Notfound
224.16252123184458,16.884169285400233,Notfound,Notfound
224.12795568902257,16.884240511036857,Notfound,Notfound
224.16393493184412,16.88439087584757,Notfound,Notfound
224.1611713803965,16.88439325487398,Notfound,Notfound
224.16261003225375,16.885020305242186,Notfound,Notfound
224.16280241526107,16.886303518480887,Notfound,Notfound
224.13044219552876,16.88699271053417,Notfound,Notfound
224.14012582959563,16.88860043102897,Notfound,Notfound
224.12925987542997,16.889581383350194,Notfound,Notfound
224.14928234306947,16.890707198851548,Notfound,Notfound
224.225616417339,16.894273448183228,Notfound,Notfound
224.21528008589829,16.895640011025666,Notfound,Notfound
224.21533593218362,16.896982957701777,Notfound,Notfound
